Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/NU-ITS/Exhibit/raw/master/Demo/Exhibit01.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/sivanic2/SJ23-Exhibit/raw/refs/heads/main/Intro1.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
