Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
NRW1,https://drive.google.com/file/d/11YpcVoekvyVe9rTJCk1dRd5Svgn5yaFH/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
NRW3,https://drive.google.com/file/d/1Jk1LMceR6fxgpJagJkWP4xO7fJ_l_tAb/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
NRW4,https://drive.google.com/file/d/1tfMBeCXC36gfxFkEyjDNDjk7ufhJ3ZR4/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
NRW5,https://drive.google.com/file/d/1LbFWVX0fuiOXDSKWJmRJr377VHL1qg92/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
NRW6,https://drive.google.com/file/d/113YhiI0FWMkE0FzksKRmj8NxUWzF5IzU/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
NRW7,https://drive.google.com/file/d/1TiFFO2XaxqZlVTOxCg13DFs6VwFyx_L7/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
