Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
General1,https://drive.google.com/file/d/1_wnK3Uz5kC0Wj-rld15LF4swnGpxOfoG/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General2,https://drive.google.com/file/d/1dACSO8f_R9kduAWMovMg1kWmmvIBtTvu/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General3,https://drive.google.com/file/d/1XHX1PiswC4j_SFiFCnOhqmfSDHw8nx1p/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General4,https://drive.google.com/file/d/1Lo0NBUVwrWVSzfrClRxMcXwBAEKVCuaB/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General5,https://drive.google.com/file/d/19eQd_FuPkr9RQkKKBUWdSxJNObCnP7PA/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General6,https://drive.google.com/file/d/1xbmKH4fP9hbzt8mdhhqj7zCMuePYE0io/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General7,https://drive.google.com/file/d/1Db_b-ECIR_lQSkmDFt8dlhowd5uVJ8oK/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
General8,https://drive.google.com/file/d/1egzysXBypSF-cuem2fWjRw81C6aGT5l-/view?usp=sharing,00:00:05,01:00:00,1/1/2018 00:00,12/31/30 23:59,yes
