Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
LC1,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC1.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC2,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC2.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC3,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC3.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC4,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC4.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC5,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC5.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC6,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC6.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC7,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC7.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
LC8,https://raw.githubusercontent.com/sivanic2/SJ23-Exhibit/refs/heads/main/2LC/LC8.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
